Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite_001,Chrome 116.0.0.0,,,2023-09-18 14:49:18,2023-09-18 14:55:32,6m - 14.466s,PASSED
,,,,,,,
Test Cases/TC_001,Chrome 116.0.0.0,,,2023-09-18 14:49:18,2023-09-18 14:49:29,11.052s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 14:49:18,2023-09-18 14:49:21,2.385s,PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-09-18 14:49:21,2023-09-18 14:49:21,0.162s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 14:49:21,2023-09-18 14:49:27,6.553s,PASSED
"setText(findTestObject(""Page_Google/textarea__q""), ""gmail"")",Chrome 116.0.0.0,,,2023-09-18 14:49:27,2023-09-18 14:49:28,0.809s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 14:49:28,2023-09-18 14:49:29,0.702s,PASSED
,,,,,,,
Test Cases/TC_0010,Chrome 116.0.0.0,,,2023-09-18 14:49:29,2023-09-18 14:49:40,11.160s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 14:49:29,2023-09-18 14:49:31,1.316s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 14:49:31,2023-09-18 14:49:36,5.487s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 14:49:36,2023-09-18 14:49:39,3.312s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 14:49:39,2023-09-18 14:49:40,0.677s,PASSED
,,,,,,,
Test Cases/TC_0011,Chrome 116.0.0.0,,,2023-09-18 14:49:40,2023-09-18 14:49:52,11.643s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 14:49:40,2023-09-18 14:49:42,1.320s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 14:49:42,2023-09-18 14:49:48,5.873s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 14:49:48,2023-09-18 14:49:51,3.422s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 14:49:51,2023-09-18 14:49:52,0.683s,PASSED
,,,,,,,
Test Cases/TC_0012,Chrome 116.0.0.0,,,2023-09-18 14:49:52,2023-09-18 14:50:03,11.435s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 14:49:52,2023-09-18 14:49:53,1.300s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 14:49:53,2023-09-18 14:49:59,5.666s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 14:49:59,2023-09-18 14:50:03,3.421s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 14:50:03,2023-09-18 14:50:03,0.682s,PASSED
,,,,,,,
Test Cases/TC_0013,Chrome 116.0.0.0,,,2023-09-18 14:50:03,2023-09-18 14:50:14,10.462s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 14:50:04,2023-09-18 14:50:05,1.293s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 14:50:05,2023-09-18 14:50:11,6.266s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 14:50:11,2023-09-18 14:50:13,1.890s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 14:50:13,2023-09-18 14:50:14,0.666s,PASSED
,,,,,,,
Test Cases/TC_0014,Chrome 116.0.0.0,,,2023-09-18 14:50:14,2023-09-18 14:50:25,11.582s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 14:50:14,2023-09-18 14:50:15,1.305s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 14:50:15,2023-09-18 14:50:21,6.025s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 14:50:21,2023-09-18 14:50:25,3.202s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 14:50:25,2023-09-18 14:50:25,0.693s,PASSED
,,,,,,,
Test Cases/TC_0015,Chrome 116.0.0.0,,,2023-09-18 14:50:25,2023-09-18 14:50:35,9.850s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 14:50:26,2023-09-18 14:50:27,1.334s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 14:50:27,2023-09-18 14:50:32,5.400s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 14:50:32,2023-09-18 14:50:34,2.070s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 14:50:34,2023-09-18 14:50:35,0.677s,PASSED
,,,,,,,
Test Cases/TC_0016,Chrome 116.0.0.0,,,2023-09-18 14:50:35,2023-09-18 14:50:47,11.690s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 14:50:35,2023-09-18 14:50:37,1.292s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 14:50:37,2023-09-18 14:50:43,6.254s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 14:50:43,2023-09-18 14:50:46,3.128s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 14:50:46,2023-09-18 14:50:47,0.676s,PASSED
,,,,,,,
Test Cases/TC_0017,Chrome 116.0.0.0,,,2023-09-18 14:50:47,2023-09-18 14:50:57,9.995s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 14:50:47,2023-09-18 14:50:49,1.346s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 14:50:49,2023-09-18 14:50:54,5.873s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 14:50:54,2023-09-18 14:50:56,1.756s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 14:50:56,2023-09-18 14:50:57,0.662s,PASSED
,,,,,,,
Test Cases/TC_0018,Chrome 116.0.0.0,,,2023-09-18 14:50:57,2023-09-18 14:51:08,11.623s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 14:50:57,2023-09-18 14:50:59,1.314s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 14:50:59,2023-09-18 14:51:05,6.274s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 14:51:05,2023-09-18 14:51:08,3.014s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 14:51:08,2023-09-18 14:51:08,0.671s,PASSED
,,,,,,,
Test Cases/TC_0019,Chrome 116.0.0.0,,,2023-09-18 14:51:08,2023-09-18 14:51:19,10.999s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 14:51:09,2023-09-18 14:51:10,1.290s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 14:51:10,2023-09-18 14:51:16,5.715s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 14:51:16,2023-09-18 14:51:19,2.982s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 14:51:19,2023-09-18 14:51:19,0.669s,PASSED
,,,,,,,
Test Cases/TC_002,Chrome 116.0.0.0,,,2023-09-18 14:51:19,2023-09-18 14:51:33,13.318s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 14:51:20,2023-09-18 14:51:21,1.326s,PASSED
"navigateToUrl(""https://www.google.com/?gws_rd=ssl"")",Chrome 116.0.0.0,,,2023-09-18 14:51:21,2023-09-18 14:51:27,5.825s,PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-09-18 14:51:27,2023-09-18 14:51:27,0.147s,PASSED
"click(findTestObject(""Object Repository/Page_Google/input_Delete_btnI""))",Chrome 116.0.0.0,,,2023-09-18 14:51:27,2023-09-18 14:51:32,4.907s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 14:51:32,2023-09-18 14:51:33,0.716s,PASSED
,,,,,,,
Test Cases/TC_0020,Chrome 116.0.0.0,,,2023-09-18 14:51:33,2023-09-18 14:51:47,13.792s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 14:51:33,2023-09-18 14:51:34,1.303s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 14:51:34,2023-09-18 14:51:42,7.639s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 14:51:42,2023-09-18 14:51:46,3.844s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 14:51:46,2023-09-18 14:51:47,0.673s,PASSED
,,,,,,,
